year,state,gender,statistic,gross_income_euros
2014,"Asturias, Principado de",female,upper_quartile,23331.74
2013,"Asturias, Principado de",female,upper_quartile,23195.1
2012,"Asturias, Principado de",female,upper_quartile,21980.12
2011,"Asturias, Principado de",female,upper_quartile,23333.16
2010,"Asturias, Principado de",female,upper_quartile,23519.22
2009,"Asturias, Principado de",female,upper_quartile,24173.23
2008,"Asturias, Principado de",female,upper_quartile,22456.42
2017,"Asturias, Principado de",female,90th_percentile,36760.93
2016,"Asturias, Principado de",female,90th_percentile,35863.24
2015,"Asturias, Principado de",female,90th_percentile,35044.06
2014,"Asturias, Principado de",female,90th_percentile,33779.15
2013,"Asturias, Principado de",female,90th_percentile,34935.64
2012,"Asturias, Principado de",female,90th_percentile,32734.12
2011,"Asturias, Principado de",female,90th_percentile,33653.21
2010,"Asturias, Principado de",female,90th_percentile,34528.14
2009,"Asturias, Principado de",female,90th_percentile,34023.37
2008,"Asturias, Principado de",female,90th_percentile,32926.03
2017,"Asturias, Principado de",male,mean,27849.0
2016,"Asturias, Principado de",male,mean,27010.87
2015,"Asturias, Principado de",male,mean,26514.68
2014,"Asturias, Principado de",male,mean,25322.01
2013,"Asturias, Principado de",male,mean,25500.04
2012,"Asturias, Principado de",male,mean,25048.82
2011,"Asturias, Principado de",male,mean,25346.39
2010,"Asturias, Principado de",male,mean,25170.79
2009,"Asturias, Principado de",male,mean,25175.71
2008,"Asturias, Principado de",male,mean,24306.27
2017,"Asturias, Principado de",male,10th_percentile,12134.3
2016,"Asturias, Principado de",male,10th_percentile,11168.0
2015,"Asturias, Principado de",male,10th_percentile,11210.72
2014,"Asturias, Principado de",male,10th_percentile,9811.92
2013,"Asturias, Principado de",male,10th_percentile,8535.31
2012,"Asturias, Principado de",male,10th_percentile,9892.17
2011,"Asturias, Principado de",male,10th_percentile,11471.52
2010,"Asturias, Principado de",male,10th_percentile,11714.17
2009,"Asturias, Principado de",male,10th_percentile,11323.52
2008,"Asturias, Principado de",male,10th_percentile,11303.38
2017,"Asturias, Principado de",male,lower_quartile,17879.09
2016,"Asturias, Principado de",male,lower_quartile,17190.14
2015,"Asturias, Principado de",male,lower_quartile,16980.66
2014,"Asturias, Principado de",male,lower_quartile,16181.76
2013,"Asturias, Principado de",male,lower_quartile,15770.78
2012,"Asturias, Principado de",male,lower_quartile,16392.96
2011,"Asturias, Principado de",male,lower_quartile,16795.11
2010,"Asturias, Principado de",male,lower_quartile,16680.81
2009,"Asturias, Principado de",male,lower_quartile,16235.44
2008,"Asturias, Principado de",male,lower_quartile,15921.69
2017,"Asturias, Principado de",male,median,24030.46
2016,"Asturias, Principado de",male,median,23437.86
2015,"Asturias, Principado de",male,median,23248.86
2014,"Asturias, Principado de",male,median,22433.47
2013,"Asturias, Principado de",male,median,22383.08
2012,"Asturias, Principado de",male,median,21732.37
2011,"Asturias, Principado de",male,median,22029.51
2010,"Asturias, Principado de",male,median,21831.09
2009,"Asturias, Principado de",male,median,21397.37
2008,"Asturias, Principado de",male,median,21173.29
2017,"Asturias, Principado de",male,upper_quartile,34780.69
2016,"Asturias, Principado de",male,upper_quartile,34001.92
2015,"Asturias, Principado de",male,upper_quartile,34432.28
2014,"Asturias, Principado de",male,upper_quartile,32512.93
2013,"Asturias, Principado de",male,upper_quartile,32407.39
2012,"Asturias, Principado de",male,upper_quartile,31345.36
2011,"Asturias, Principado de",male,upper_quartile,31127.8
2010,"Asturias, Principado de",male,upper_quartile,31148.16
2009,"Asturias, Principado de",male,upper_quartile,30900.02
2008,"Asturias, Principado de",male,upper_quartile,29593.39
2017,"Asturias, Principado de",male,90th_percentile,45547.43
2016,"Asturias, Principado de",male,90th_percentile,44938.52
2015,"Asturias, Principado de",male,90th_percentile,44130.88
2014,"Asturias, Principado de",male,90th_percentile,43292.45
2013,"Asturias, Principado de",male,90th_percentile,43109.54
2012,"Asturias, Principado de",male,90th_percentile,42573.36
2011,"Asturias, Principado de",male,90th_percentile,42004.3
2010,"Asturias, Principado de",male,90th_percentile,41869.79
2009,"Asturias, Principado de",male,90th_percentile,43018.83
2008,"Asturias, Principado de",male,90th_percentile,41101.2
2017,"Balears, Illes",both,mean,22036.46
2016,"Balears, Illes",both,mean,21478.34
2015,"Balears, Illes",both,mean,21395.42
2014,"Balears, Illes",both,mean,21322.08
2013,"Balears, Illes",both,mean,20776.29
2012,"Balears, Illes",both,mean,20960.53
2011,"Balears, Illes",both,mean,21351.0
2010,"Balears, Illes",both,mean,21613.6
2009,"Balears, Illes",both,mean,21070.14
2008,"Balears, Illes",both,mean,20388.09
2017,"Balears, Illes",both,10th_percentile,9900.99
2016,"Balears, Illes",both,10th_percentile,8594.84
2015,"Balears, Illes",both,10th_percentile,8969.64
2014,"Balears, Illes",both,10th_percentile,9312.05
2013,"Balears, Illes",both,10th_percentile,8278.16
2012,"Balears, Illes",both,10th_percentile,8588.24
2011,"Balears, Illes",both,10th_percentile,9012.96
2010,"Balears, Illes",both,10th_percentile,9219.76
2009,"Balears, Illes",both,10th_percentile,9565.98
2008,"Balears, Illes",both,10th_percentile,9619.14
2017,"Balears, Illes",both,lower_quartile,14735.55
2016,"Balears, Illes",both,lower_quartile,13884.59
2015,"Balears, Illes",both,lower_quartile,14201.02
2014,"Balears, Illes",both,lower_quartile,14131.02
2013,"Balears, Illes",both,lower_quartile,13765.16
2012,"Balears, Illes",both,lower_quartile,13954.34
2011,"Balears, Illes",both,lower_quartile,14209.9
2010,"Balears, Illes",both,lower_quartile,14303.77
2009,"Balears, Illes",both,lower_quartile,14008.65
2008,"Balears, Illes",both,lower_quartile,13486.1
2017,"Balears, Illes",both,median,19264.02
2016,"Balears, Illes",both,median,18847.22
2015,"Balears, Illes",both,median,18610.0
2014,"Balears, Illes",both,median,18714.35
2013,"Balears, Illes",both,median,18030.53
2012,"Balears, Illes",both,median,18088.52
2011,"Balears, Illes",both,median,18403.17
2010,"Balears, Illes",both,median,18406.42
2009,"Balears, Illes",both,median,17224.24
2008,"Balears, Illes",both,median,16813.32
2017,"Balears, Illes",both,upper_quartile,25520.0
2016,"Balears, Illes",both,upper_quartile,25243.95
2015,"Balears, Illes",both,upper_quartile,24966.72
2014,"Balears, Illes",both,upper_quartile,24936.55
2013,"Balears, Illes",both,upper_quartile,24592.1
2012,"Balears, Illes",both,upper_quartile,24976.54
2011,"Balears, Illes",both,upper_quartile,25427.19
2010,"Balears, Illes",both,upper_quartile,25579.52
2009,"Balears, Illes",both,upper_quartile,24095.07
2008,"Balears, Illes",both,upper_quartile,23334.3
2017,"Balears, Illes",both,90th_percentile,37668.58
2016,"Balears, Illes",both,90th_percentile,37025.02
2015,"Balears, Illes",both,90th_percentile,36163.2
2014,"Balears, Illes",both,90th_percentile,35283.25
2013,"Balears, Illes",both,90th_percentile,34989.31
2012,"Balears, Illes",both,90th_percentile,35224.61
2011,"Balears, Illes",both,90th_percentile,36358.78
2010,"Balears, Illes",both,90th_percentile,36976.78
2009,"Balears, Illes",both,90th_percentile,36851.1
2008,"Balears, Illes",both,90th_percentile,35047.39
2017,"Balears, Illes",female,mean,20465.58
2016,"Balears, Illes",female,mean,19702.6
2015,"Balears, Illes",female,mean,19517.28
2014,"Balears, Illes",female,mean,19008.38
2013,"Balears, Illes",female,mean,18998.37
2012,"Balears, Illes",female,mean,19022.24
2011,"Balears, Illes",female,mean,19377.39
2010,"Balears, Illes",female,mean,19812.19
2009,"Balears, Illes",female,mean,18702.72
2008,"Balears, Illes",female,mean,18159.78
2017,"Balears, Illes",female,10th_percentile,8970.38
2016,"Balears, Illes",female,10th_percentile,7787.06
2015,"Balears, Illes",female,10th_percentile,7778.38
2014,"Balears, Illes",female,10th_percentile,8590.04
2013,"Balears, Illes",female,10th_percentile,7836.37
2012,"Balears, Illes",female,10th_percentile,8031.43
2011,"Balears, Illes",female,10th_percentile,8323.78
2010,"Balears, Illes",female,10th_percentile,8392.14
2009,"Balears, Illes",female,10th_percentile,8346.22
2008,"Balears, Illes",female,10th_percentile,8091.47
2017,"Balears, Illes",female,lower_quartile,13237.67
2016,"Balears, Illes",female,lower_quartile,12354.0
2015,"Balears, Illes",female,lower_quartile,12454.42
2014,"Balears, Illes",female,lower_quartile,12325.0
2013,"Balears, Illes",female,lower_quartile,12340.53
2012,"Balears, Illes",female,lower_quartile,12900.79
2011,"Balears, Illes",female,lower_quartile,13029.71
2010,"Balears, Illes",female,lower_quartile,13133.39
2009,"Balears, Illes",female,lower_quartile,12707.4
2008,"Balears, Illes",female,lower_quartile,11853.68
2017,"Balears, Illes",female,median,18113.66
2016,"Balears, Illes",female,median,17582.01
2015,"Balears, Illes",female,median,17370.54
2014,"Balears, Illes",female,median,17133.18
2013,"Balears, Illes",female,median,16887.8
2012,"Balears, Illes",female,median,16999.82
2011,"Balears, Illes",female,median,17358.36
2010,"Balears, Illes",female,median,17240.49
2009,"Balears, Illes",female,median,15889.99
2008,"Balears, Illes",female,median,15385.11
2017,"Balears, Illes",female,upper_quartile,24565.83
2016,"Balears, Illes",female,upper_quartile,24141.58
2015,"Balears, Illes",female,upper_quartile,23614.44
2014,"Balears, Illes",female,upper_quartile,22985.52
2013,"Balears, Illes",female,upper_quartile,22683.47
2012,"Balears, Illes",female,upper_quartile,22465.23
2011,"Balears, Illes",female,upper_quartile,23176.41
2010,"Balears, Illes",female,upper_quartile,24034.08
2009,"Balears, Illes",female,upper_quartile,22117.55
2008,"Balears, Illes",female,upper_quartile,21092.28
2017,"Balears, Illes",female,90th_percentile,35012.21
2016,"Balears, Illes",female,90th_percentile,34027.05
2015,"Balears, Illes",female,90th_percentile,33716.34
2014,"Balears, Illes",female,90th_percentile,32227.97
2013,"Balears, Illes",female,90th_percentile,32370.79
2012,"Balears, Illes",female,90th_percentile,31419.01
2011,"Balears, Illes",female,90th_percentile,32328.96
2010,"Balears, Illes",female,90th_percentile,33381.35
2009,"Balears, Illes",female,90th_percentile,33332.41
2008,"Balears, Illes",female,90th_percentile,31763.18
2017,"Balears, Illes",male,mean,23538.43
2016,"Balears, Illes",male,mean,23286.85
2015,"Balears, Illes",male,mean,23411.35
2014,"Balears, Illes",male,mean,23770.56
2013,"Balears, Illes",male,mean,22584.78
2012,"Balears, Illes",male,mean,22859.04
2011,"Balears, Illes",male,mean,23188.8
2010,"Balears, Illes",male,mean,23213.04
2009,"Balears, Illes",male,mean,23285.93
2008,"Balears, Illes",male,mean,22253.73
2017,"Balears, Illes",male,10th_percentile,11612.11
2016,"Balears, Illes",male,10th_percentile,10226.59
2015,"Balears, Illes",male,10th_percentile,11656.27
2014,"Balears, Illes",male,10th_percentile,10609.1
2013,"Balears, Illes",male,10th_percentile,9249.26
2012,"Balears, Illes",male,10th_percentile,9913.58
2011,"Balears, Illes",male,10th_percentile,10731.96
2010,"Balears, Illes",male,10th_percentile,11181.12
2009,"Balears, Illes",male,10th_percentile,11788.86
2008,"Balears, Illes",male,10th_percentile,11651.31
2017,"Balears, Illes",male,lower_quartile,16038.48
2016,"Balears, Illes",male,lower_quartile,15423.91
2015,"Balears, Illes",male,lower_quartile,15852.0
2014,"Balears, Illes",male,lower_quartile,16179.71
2013,"Balears, Illes",male,lower_quartile,15100.5
2012,"Balears, Illes",male,lower_quartile,15083.38
2011,"Balears, Illes",male,lower_quartile,15082.52
2010,"Balears, Illes",male,lower_quartile,15292.65
2009,"Balears, Illes",male,lower_quartile,15148.63
2008,"Balears, Illes",male,lower_quartile,14732.9
2017,"Balears, Illes",male,median,20252.93
2016,"Balears, Illes",male,median,20106.69
2015,"Balears, Illes",male,median,19994.15
2014,"Balears, Illes",male,median,20330.19
2013,"Balears, Illes",male,median,19295.0
2012,"Balears, Illes",male,median,19510.2
2011,"Balears, Illes",male,median,19921.2
2010,"Balears, Illes",male,median,19609.49
2009,"Balears, Illes",male,median,18869.73
2008,"Balears, Illes",male,median,18199.91
2017,"Balears, Illes",male,upper_quartile,26899.07
2016,"Balears, Illes",male,upper_quartile,26878.5
2015,"Balears, Illes",male,upper_quartile,26872.55
2014,"Balears, Illes",male,upper_quartile,27721.44
2013,"Balears, Illes",male,upper_quartile,26980.65
2012,"Balears, Illes",male,upper_quartile,27222.86
2011,"Balears, Illes",male,upper_quartile,27597.85
2010,"Balears, Illes",male,upper_quartile,27463.27
2009,"Balears, Illes",male,upper_quartile,26518.22
2008,"Balears, Illes",male,upper_quartile,25004.38
2017,"Balears, Illes",male,90th_percentile,40246.05
2016,"Balears, Illes",male,90th_percentile,39569.8
2015,"Balears, Illes",male,90th_percentile,39014.67
2014,"Balears, Illes",male,90th_percentile,38741.65
2013,"Balears, Illes",male,90th_percentile,38056.3
2012,"Balears, Illes",male,90th_percentile,38939.59
2011,"Balears, Illes",male,90th_percentile,39822.29
2010,"Balears, Illes",male,90th_percentile,39468.03
2009,"Balears, Illes",male,90th_percentile,39540.7
2008,"Balears, Illes",male,90th_percentile,37901.52
2017,Canarias,both,mean,20185.33
2016,Canarias,both,mean,19749.03
2015,Canarias,both,mean,19856.61
2014,Canarias,both,mean,19436.48
2013,Canarias,both,mean,19167.93
2012,Canarias,both,mean,19277.62
2011,Canarias,both,mean,19516.96
2010,Canarias,both,mean,19315.56
2009,Canarias,both,mean,18926.36
2008,Canarias,both,mean,18466.99
2017,Canarias,both,10th_percentile,8504.67
2016,Canarias,both,10th_percentile,7840.41
2015,Canarias,both,10th_percentile,7283.78
2014,Canarias,both,10th_percentile,7381.98
2013,Canarias,both,10th_percentile,6623.23
2012,Canarias,both,10th_percentile,6772.32
2011,Canarias,both,10th_percentile,7529.64
2010,Canarias,both,10th_percentile,7913.84
2009,Canarias,both,10th_percentile,8186.66
2008,Canarias,both,10th_percentile,8591.6
2017,Canarias,both,lower_quartile,12491.9
2016,Canarias,both,lower_quartile,11892.67
2015,Canarias,both,lower_quartile,11609.2
2014,Canarias,both,lower_quartile,11550.49
2013,Canarias,both,lower_quartile,11127.36
2012,Canarias,both,lower_quartile,11137.92
2011,Canarias,both,lower_quartile,11577.26
2010,Canarias,both,lower_quartile,11643.18
2009,Canarias,both,lower_quartile,12144.18
2008,Canarias,both,lower_quartile,12028.43
2017,Canarias,both,median,17223.25
2016,Canarias,both,median,16833.69
2015,Canarias,both,median,17025.12
2014,Canarias,both,median,16509.48
2013,Canarias,both,median,16405.41
2012,Canarias,both,median,16584.6
2011,Canarias,both,median,16487.68
2010,Canarias,both,median,15897.41
2009,Canarias,both,median,16229.38
2008,Canarias,both,median,15725.28
2017,Canarias,both,upper_quartile,24044.2
2016,Canarias,both,upper_quartile,23721.56
2015,Canarias,both,upper_quartile,24326.91
2014,Canarias,both,upper_quartile,23315.06
2013,Canarias,both,upper_quartile,23306.4
2012,Canarias,both,upper_quartile,23365.74
2011,Canarias,both,upper_quartile,23691.54
2010,Canarias,both,upper_quartile,23592.06
2009,Canarias,both,upper_quartile,22715.64
2008,Canarias,both,upper_quartile,21693.6
2017,Canarias,both,90th_percentile,36164.07
2016,Canarias,both,90th_percentile,35740.4
2015,Canarias,both,90th_percentile,36148.33
2014,Canarias,both,90th_percentile,34565.14
2013,Canarias,both,90th_percentile,35000.88
2012,Canarias,both,90th_percentile,34458.15
2011,Canarias,both,90th_percentile,34847.21
2010,Canarias,both,90th_percentile,35000.04
2009,Canarias,both,90th_percentile,33618.92
2008,Canarias,both,90th_percentile,32004.86
2017,Canarias,female,mean,18917.73
2016,Canarias,female,mean,18211.44
2015,Canarias,female,mean,18279.76
2014,Canarias,female,mean,18201.48
2013,Canarias,female,mean,17619.86
2012,Canarias,female,mean,17498.71
2011,Canarias,female,mean,17824.94
2010,Canarias,female,mean,17601.79
2009,Canarias,female,mean,17528.33
2008,Canarias,female,mean,17131.85
2017,Canarias,female,10th_percentile,7589.96
2016,Canarias,female,10th_percentile,7098.48
2015,Canarias,female,10th_percentile,6408.0
2014,Canarias,female,10th_percentile,6517.55
2013,Canarias,female,10th_percentile,5676.33
2012,Canarias,female,10th_percentile,6010.22
2011,Canarias,female,10th_percentile,6427.08
2010,Canarias,female,10th_percentile,6585.89
2009,Canarias,female,10th_percentile,6453.04
2008,Canarias,female,10th_percentile,6474.48
2017,Canarias,female,lower_quartile,11207.17
2016,Canarias,female,lower_quartile,10528.48
2015,Canarias,female,lower_quartile,10039.23
2014,Canarias,female,lower_quartile,10559.02
2013,Canarias,female,lower_quartile,9658.85
2012,Canarias,female,lower_quartile,10039.97
2011,Canarias,female,lower_quartile,10433.7
2010,Canarias,female,lower_quartile,10263.08
2009,Canarias,female,lower_quartile,10595.76
2008,Canarias,female,lower_quartile,10303.63
2017,Canarias,female,median,16343.72
2016,Canarias,female,median,15780.72
2015,Canarias,female,median,15389.18
2014,Canarias,female,median,15355.31
2013,Canarias,female,median,14859.15
2012,Canarias,female,median,14680.25
2011,Canarias,female,median,14889.88
2010,Canarias,female,median,14370.7
2009,Canarias,female,median,15139.91
2008,Canarias,female,median,14621.63
2017,Canarias,female,upper_quartile,23162.2
2016,Canarias,female,upper_quartile,22240.03
2015,Canarias,female,upper_quartile,22957.35
2014,Canarias,female,upper_quartile,22042.6
2013,Canarias,female,upper_quartile,21999.98
2012,Canarias,female,upper_quartile,21952.88
2011,Canarias,female,upper_quartile,22485.06
2010,Canarias,female,upper_quartile,21771.48
2009,Canarias,female,upper_quartile,21483.88
2008,Canarias,female,upper_quartile,20542.93
2017,Canarias,female,90th_percentile,34659.38
2016,Canarias,female,90th_percentile,33349.88
2015,Canarias,female,90th_percentile,34047.74
2014,Canarias,female,90th_percentile,33551.3
2013,Canarias,female,90th_percentile,32766.41
2012,Canarias,female,90th_percentile,32296.84
2011,Canarias,female,90th_percentile,33140.42
2010,Canarias,female,90th_percentile,32354.96
2009,Canarias,female,90th_percentile,32101.27
2008,Canarias,female,90th_percentile,31064.08
2017,Canarias,male,mean,21291.66
2016,Canarias,male,mean,21149.44
2015,Canarias,male,mean,21336.72
2014,Canarias,male,mean,20641.49
2013,Canarias,male,mean,20678.43
2012,Canarias,male,mean,21089.85
2011,Canarias,male,mean,21090.86
2010,Canarias,male,mean,20986.94
2009,Canarias,male,mean,20109.24
2008,Canarias,male,mean,19516.93
2017,Canarias,male,10th_percentile,9897.61
2016,Canarias,male,10th_percentile,9041.1
2015,Canarias,male,10th_percentile,8538.67
2014,Canarias,male,10th_percentile,9043.92
2013,Canarias,male,10th_percentile,7877.31
2012,Canarias,male,10th_percentile,8219.14
2011,Canarias,male,10th_percentile,9125.77
2010,Canarias,male,10th_percentile,9974.64
2009,Canarias,male,10th_percentile,10206.2
2008,Canarias,male,10th_percentile,10527.8
2017,Canarias,male,lower_quartile,13652.33
2016,Canarias,male,lower_quartile,13475.72
2015,Canarias,male,lower_quartile,13578.97
2014,Canarias,male,lower_quartile,12919.86
2013,Canarias,male,lower_quartile,12880.62
2012,Canarias,male,lower_quartile,13122.31
2011,Canarias,male,lower_quartile,13123.3
2010,Canarias,male,lower_quartile,13055.06
2009,Canarias,male,lower_quartile,13590.0
2008,Canarias,male,lower_quartile,13258.2
2017,Canarias,male,median,17776.74
2016,Canarias,male,median,17736.72
2015,Canarias,male,median,18042.41
2014,Canarias,male,median,17254.37
2013,Canarias,male,median,17603.76
2012,Canarias,male,median,17941.68
2011,Canarias,male,median,17775.63
2010,Canarias,male,median,16986.2
2009,Canarias,male,median,16949.1
2008,Canarias,male,median,16310.4
2017,Canarias,male,upper_quartile,24621.85
2016,Canarias,male,upper_quartile,24744.49
2015,Canarias,male,upper_quartile,25292.49
2014,Canarias,male,upper_quartile,24723.03
2013,Canarias,male,upper_quartile,24267.24
2012,Canarias,male,upper_quartile,25086.57
2011,Canarias,male,upper_quartile,24850.91
2010,Canarias,male,upper_quartile,25503.84
2009,Canarias,male,upper_quartile,24200.4
2008,Canarias,male,upper_quartile,22563.83
2017,Canarias,male,90th_percentile,38279.08
2016,Canarias,male,90th_percentile,37958.11
2015,Canarias,male,90th_percentile,38151.86
2014,Canarias,male,90th_percentile,35559.55
2013,Canarias,male,90th_percentile,36825.01
2012,Canarias,male,90th_percentile,36852.75
2011,Canarias,male,90th_percentile,37146.34
2010,Canarias,male,90th_percentile,37296.3
2009,Canarias,male,90th_percentile,34919.47
2008,Canarias,male,90th_percentile,32158.85
2017,Cantabria,both,mean,22390.4
2016,Cantabria,both,mean,22063.02
2015,Cantabria,both,mean,21856.81
2014,Cantabria,both,mean,21199.83
2013,Cantabria,both,mean,20052.12
2012,Cantabria,both,mean,20191.51
2011,Cantabria,both,mean,20931.68
2010,Cantabria,both,mean,21156.79
2009,Cantabria,both,mean,20869.86
2008,Cantabria,both,mean,20377.68
2017,Cantabria,both,10th_percentile,8844.61
2016,Cantabria,both,10th_percentile,8480.47
2015,Cantabria,both,10th_percentile,8085.88
2014,Cantabria,both,10th_percentile,7134.6
2013,Cantabria,both,10th_percentile,7566.98
2012,Cantabria,both,10th_percentile,7518.84
2011,Cantabria,both,10th_percentile,8082.61
2010,Cantabria,both,10th_percentile,8248.8
2009,Cantabria,both,10th_percentile,8209.95
2008,Cantabria,both,10th_percentile,8763.7
2017,Cantabria,both,lower_quartile,13534.85
2016,Cantabria,both,lower_quartile,12939.01
2015,Cantabria,both,lower_quartile,13443.74
2014,Cantabria,both,lower_quartile,12659.03
2013,Cantabria,both,lower_quartile,12336.9
2012,Cantabria,both,lower_quartile,12534.9
2011,Cantabria,both,lower_quartile,13222.5
2010,Cantabria,both,lower_quartile,13160.89
2009,Cantabria,both,lower_quartile,12899.82
2008,Cantabria,both,lower_quartile,13201.31
2017,Cantabria,both,median,19092.46
2016,Cantabria,both,median,18590.39
2015,Cantabria,both,median,18861.3
2014,Cantabria,both,median,18514.74
2013,Cantabria,both,median,17632.21
2012,Cantabria,both,median,17284.05
2011,Cantabria,both,median,18023.05
2010,Cantabria,both,median,18071.76
2009,Cantabria,both,median,18002.19
2008,Cantabria,both,median,17624.84
2017,Cantabria,both,upper_quartile,27968.43
2016,Cantabria,both,upper_quartile,27411.34
2015,Cantabria,both,upper_quartile,27526.75
2014,Cantabria,both,upper_quartile,26671.48
2013,Cantabria,both,upper_quartile,25304.87
2012,Cantabria,both,upper_quartile,24543.38
2011,Cantabria,both,upper_quartile,26002.96
2010,Cantabria,both,upper_quartile,26335.73
2009,Cantabria,both,upper_quartile,26163.6
2008,Cantabria,both,upper_quartile,25032.66
2017,Cantabria,both,90th_percentile,40839.0
2016,Cantabria,both,90th_percentile,39657.6
2015,Cantabria,both,90th_percentile,38476.91
2014,Cantabria,both,90th_percentile,38592.37
2013,Cantabria,both,90th_percentile,35467.68
2012,Cantabria,both,90th_percentile,36539.97
2011,Cantabria,both,90th_percentile,36713.48
2010,Cantabria,both,90th_percentile,37152.52
2009,Cantabria,both,90th_percentile,37183.58
2008,Cantabria,both,90th_percentile,35322.22
2017,Cantabria,female,mean,19012.2
2016,Cantabria,female,mean,18216.84
2015,Cantabria,female,mean,17955.79
2014,Cantabria,female,mean,17668.55
2013,Cantabria,female,mean,16542.34
2012,Cantabria,female,mean,16771.99
2011,Cantabria,female,mean,17606.84
2010,Cantabria,female,mean,17887.59
2009,Cantabria,female,mean,18210.65
2008,Cantabria,female,mean,17460.14
2017,Cantabria,female,10th_percentile,6760.35
2016,Cantabria,female,10th_percentile,6844.44
2015,Cantabria,female,10th_percentile,6649.48
2014,Cantabria,female,10th_percentile,5702.94
2013,Cantabria,female,10th_percentile,6678.85
2012,Cantabria,female,10th_percentile,6771.84
2011,Cantabria,female,10th_percentile,6801.05
2010,Cantabria,female,10th_percentile,6336.93
2009,Cantabria,female,10th_percentile,6776.26
2008,Cantabria,female,10th_percentile,6683.02
2017,Cantabria,female,lower_quartile,11223.96
2016,Cantabria,female,lower_quartile,10567.96
2015,Cantabria,female,lower_quartile,10632.86
2014,Cantabria,female,lower_quartile,9768.74
2013,Cantabria,female,lower_quartile,10177.32
2012,Cantabria,female,lower_quartile,10015.6
2011,Cantabria,female,lower_quartile,10672.94
2010,Cantabria,female,lower_quartile,10578.72
2009,Cantabria,female,lower_quartile,10343.01
2008,Cantabria,female,lower_quartile,10465.79
2017,Cantabria,female,median,15998.06
2016,Cantabria,female,median,15414.19
2015,Cantabria,female,median,15456.0
2014,Cantabria,female,median,15060.5
2013,Cantabria,female,median,14575.17
2012,Cantabria,female,median,14449.44
2011,Cantabria,female,median,14912.6
2010,Cantabria,female,median,14813.15
2009,Cantabria,female,median,14415.9
2008,Cantabria,female,median,15029.34
2017,Cantabria,female,upper_quartile,24158.18
2016,Cantabria,female,upper_quartile,22639.07
2015,Cantabria,female,upper_quartile,23529.66
2014,Cantabria,female,upper_quartile,22529.78
2013,Cantabria,female,upper_quartile,21069.0
2012,Cantabria,female,upper_quartile,20123.96
2011,Cantabria,female,upper_quartile,22160.81
2010,Cantabria,female,upper_quartile,22075.96
2009,Cantabria,female,upper_quartile,23159.33
2008,Cantabria,female,upper_quartile,21810.64
2017,Cantabria,female,90th_percentile,35932.08
2016,Cantabria,female,90th_percentile,34673.91
2015,Cantabria,female,90th_percentile,33824.31
2014,Cantabria,female,90th_percentile,33564.39
2013,Cantabria,female,90th_percentile,29778.35
2012,Cantabria,female,90th_percentile,31881.72
2011,Cantabria,female,90th_percentile,32478.64
2010,Cantabria,female,90th_percentile,32448.03
2009,Cantabria,female,90th_percentile,35207.22
2008,Cantabria,female,90th_percentile,32464.19
2017,Cantabria,male,mean,25249.94
2016,Cantabria,male,mean,25210.05
2015,Cantabria,male,mean,25259.83
2014,Cantabria,male,mean,24685.21
2013,Cantabria,male,mean,23224.6
2012,Cantabria,male,mean,23309.9
2011,Cantabria,male,mean,23793.64
2010,Cantabria,male,mean,23924.51
2009,Cantabria,male,mean,22933.0
2008,Cantabria,male,mean,22539.72
2017,Cantabria,male,10th_percentile,11479.99
2016,Cantabria,male,10th_percentile,11740.28
2015,Cantabria,male,10th_percentile,12093.27
2014,Cantabria,male,10th_percentile,10412.64
2013,Cantabria,male,10th_percentile,9759.36
2012,Cantabria,male,10th_percentile,10548.83
2011,Cantabria,male,10th_percentile,11625.38
2010,Cantabria,male,10th_percentile,11300.0
2009,Cantabria,male,10th_percentile,11921.93
2008,Cantabria,male,10th_percentile,12312.93
2017,Cantabria,male,lower_quartile,16044.22
2016,Cantabria,male,lower_quartile,15808.24
2015,Cantabria,male,lower_quartile,16354.9
2014,Cantabria,male,lower_quartile,16262.4
2013,Cantabria,male,lower_quartile,15461.31
2012,Cantabria,male,lower_quartile,15300.0
2011,Cantabria,male,lower_quartile,15623.16
2010,Cantabria,male,lower_quartile,15973.91
2009,Cantabria,male,lower_quartile,15767.6
2008,Cantabria,male,lower_quartile,15546.39
2017,Cantabria,male,median,21322.62
2016,Cantabria,male,median,20692.84
2015,Cantabria,male,median,21468.08
2014,Cantabria,male,median,21015.31
2013,Cantabria,male,median,20001.84
2012,Cantabria,male,median,19685.54
2011,Cantabria,male,median,20318.96
2010,Cantabria,male,median,20491.2
2009,Cantabria,male,median,20134.47
2008,Cantabria,male,median,19401.56
2017,Cantabria,male,upper_quartile,31213.07
2016,Cantabria,male,upper_quartile,31466.18
2015,Cantabria,male,upper_quartile,30497.66
2014,Cantabria,male,upper_quartile,31157.85
2013,Cantabria,male,upper_quartile,29100.86
2012,Cantabria,male,upper_quartile,27716.35
2011,Cantabria,male,upper_quartile,28691.5
2010,Cantabria,male,upper_quartile,29034.92
2009,Cantabria,male,upper_quartile,27898.78
2008,Cantabria,male,upper_quartile,26679.56
2017,Cantabria,male,90th_percentile,44256.28
2016,Cantabria,male,90th_percentile,43704.0
2015,Cantabria,male,90th_percentile,42790.82
2014,Cantabria,male,90th_percentile,43105.69
2013,Cantabria,male,90th_percentile,40146.48
2012,Cantabria,male,90th_percentile,39150.0
2011,Cantabria,male,90th_percentile,39317.07
